Date Time,Inlet Gas Pressure (bar),Inlet Gas Temp (°C),Inlet Gas Flow (kg/h),Feed Water Temp (°C),Steam Pressure (bar),Steam Temp (°C),Steam Flow (kg/h),Exhaust Gas Oxygen (%),Exhaust Gas Temp (°C)
09:06:19,0.1,0,0,0,0.05,0,0.85,0,0
09:06:24,0.1,29.75,0,29.56,0.05,0,0.85,20.46,30
09:06:29,0.12,29.75,0,29.56,0.05,0,0.85,21.08,30
09:06:34,0.11,29.79,0,29.56,0.05,29.5,0.98,21.08,30.04
09:06:39,0.11,29.79,0,29.56,0.06,29.5,0.98,21.04,30.04
09:06:44,0.12,29.79,0,29.56,0.06,29.56,1.1,20.99,30.04
09:06:49,0.11,29.85,0,29.66,0.05,29.56,0.98,20.97,30.14
09:06:54,0.13,29.85,0,29.66,0.05,29.56,0.98,20.97,30.14
09:06:59,0.12,30,0,29.75,0.05,29.56,1.1,20.97,30.21
09:07:04,0.12,30,0,29.75,0.05,29.56,1.1,20.96,30.21
09:07:09,0.1,30,0,29.75,0.06,30,0.98,20.93,30.21
09:07:14,0.11,30,0,29.75,0.05,30,1.1,20.91,30.21
09:07:19,0.1,30,0,29.75,0.06,29.66,1.1,20.87,30.21
09:07:24,0.13,30.04,0,29.79,0.05,29.66,1.1,20.79,30.31
09:07:29,0.12,30.1,0,29.79,0.06,29.66,1.1,20.76,30.31
09:07:34,0.11,30.1,0,29.79,0.06,29.66,1.1,20.73,30.31
09:07:39,0.12,30.1,0,29.79,0.05,29.75,1.1,20.69,30.31
09:07:44,0.12,30.1,0,29.85,0.06,29.75,1.1,20.64,30.37
09:07:49,0.13,30.1,0,29.85,0.05,29.79,0.98,20.64,30.37
09:07:54,0.11,30.14,0,29.91,0.05,29.79,1.1,20.61,30.44
09:07:59,0.1,30.14,0,29.91,0.06,29.79,1.1,20.58,30.44
09:08:04,0.1,30.21,0,30,0.05,29.79,0.98,20.57,30.44
09:08:09,0.13,30.21,0,30,0.06,29.79,0.98,20.55,30.44
09:08:14,0.1,30.21,0,30,0.05,29.79,0.98,20.52,30.44
09:08:19,0.1,30.21,0,30,0.05,29.79,0.98,20.52,30.48
09:08:24,0.1,30.21,0,30,0.06,29.85,0.98,20.5,30.48
09:08:29,0.12,30.25,0,30.04,0.06,29.85,0.98,20.51,30.48
09:08:34,0.11,30.25,0,30.04,0.05,29.85,1.1,20.49,30.48
09:08:39,0.13,30.25,0,30.04,0.06,29.91,1.1,20.49,30.48
09:08:44,0.13,30.25,0,30.04,0.06,29.91,1.1,20.48,30.48
09:08:49,0.12,30.25,0,30.04,0.06,29.85,1.1,20.47,30.48
09:08:54,0.12,30.31,0,30.1,0.05,29.85,0.98,20.46,30.54
09:08:59,0.12,30.31,0,30.1,0.05,29.85,1.1,20.46,30.54
09:09:04,0.12,30.25,0,30.1,0.06,29.91,0.98,20.46,30.6
09:09:09,0.12,30.31,0,30.1,0.06,29.91,1.1,20.46,30.6
09:09:14,0.11,30.31,0,30.1,0.06,29.85,1.1,20.44,30.6
09:09:19,0.11,30.31,0,30.1,0.05,29.85,1.1,20.42,30.6
09:09:24,0.12,30.31,0,30.1,0.05,29.85,0.98,20.44,30.6
09:09:29,0.13,30.37,0,30.14,0.06,29.85,0.98,20.43,30.65
09:09:34,0.1,30.37,0,30.14,0.05,29.85,0.98,20.42,30.65
09:09:39,0.1,30.37,0,30.14,0.05,29.85,0.98,20.42,30.65
09:09:44,0.13,30.37,0,30.21,0.05,29.85,0.98,20.41,30.6
09:09:49,0.1,30.37,0,30.21,0.05,29.85,0.98,20.4,30.6
09:09:54,0.11,30.37,0,30.21,0.06,29.85,1.1,20.39,30.65
09:09:59,0.09,30.37,0,30.21,0.06,29.85,0.98,20.39,30.65
09:10:04,0.12,30.37,0,30.25,0.05,29.85,0.98,20.38,30.65
